,Time,Bath Bedroom Door contact,Bathroom Motion motion,Living Room Motion motion,Main door temperature,Living Bedroom Door temperature,Bath Bedroom Door temperature,Living Bedroom Door contact,Main door contact,Kitchen Motion motion,bedroom,kitchen,bathroom
4,980,0,0,0,63,72,70,0,0,0,0,0,0
4,985,0,0,0,63,72,70,0,0,0,0,0,0
4,990,0,0,0,63,72,70,0,0,0,0,0,0
4,995,0,0,0,63,72,70,0,0,0,0,0,0
4,1000,0,0,0,63,72,70,0,0,0,0,0,0
4,1005,0,0,0,63,72,70,0,0,0,0,0,0
4,1010,0,0,0,63,72,70,0,0,0,0,0,0
4,1015,0,0,0,63,72,70,0,0,0,0,0,0
4,1020,0,0,0,63,72,70,0,0,0,0,0,0
4,1025,0,0,0,63,72,70,0,0,0,0,0,0
4,1030,0,0,0,63,72,70,0,0,0,0,0,0
4,1035,0,0,0,63,72,70,0,0,0,0,0,0
4,1040,0,0,0,63,72,70,0,0,0,0,0,0
4,1045,0,0,0,63,72,70,0,0,0,0,0,0
4,1050,0,0,0,63,72,70,0,0,0,0,0,0
4,1055,0,0,0,63,72,70,0,0,0,0,0,0
4,1060,0,0,0,63,72,70,0,0,0,0,0,0
4,1065,0,0,0,63,72,70,0,0,0,0,0,0
4,1070,0,0,0,63,72,70,0,0,0,0,0,0
4,1075,0,0,0,63,72,70,0,0,0,0,0,0
4,1080,0,0,0,63,72,70,0,0,0,0,0,0
4,1085,0,0,0,63,72,70,0,0,0,0,0,0
4,1090,0,0,0,63,72,70,0,0,0,0,0,0
4,1095,0,0,0,63,72,70,0,0,0,0,0,0
4,1100,0,0,0,63,72,70,0,0,0,0,0,0
4,1105,0,0,0,63,72,70,0,0,0,0,0,0
4,1110,0,0,0,63,72,70,0,0,0,0,0,0
4,1115,0,0,0,63,72,70,0,0,0,0,0,0
4,1120,0,0,0,63,72,70,0,0,0,0,0,0
4,1125,0,0,0,63,72,70,0,0,0,0,0,0
4,1130,0,0,0,63,72,70,0,0,0,0,0,0
4,1135,0,0,0,63,72,70,0,0,0,0,0,0
4,1140,0,0,0,63,72,70,0,0,0,0,0,0
4,1145,0,0,0,63,72,70,0,0,0,0,0,0
4,1150,0,0,0,63,72,70,0,0,0,0,0,0
4,1155,0,0,0,63,72,70,0,0,0,0,0,0
4,1160,0,0,0,63,72,70,0,0,0,0,0,0
4,1165,0,0,0,63,72,70,0,0,0,0,0,0
4,1170,0,0,0,63,72,70,0,0,0,0,0,0
4,1175,0,0,0,63,72,70,0,0,0,0,0,0
4,1180,0,0,0,63,72,70,0,0,0,0,0,0
4,1185,0,0,0,63,72,70,0,0,0,0,0,0
4,1190,0,0,0,63,72,70,0,0,0,0,0,0
4,1195,0,0,0,63,72,70,0,0,0,0,0,0
4,1200,0,0,0,63,72,70,0,0,0,0,0,0
4,1205,0,0,0,63,72,70,0,0,0,0,0,0
4,1210,0,0,0,63,72,70,0,0,0,0,0,0
4,1215,0,0,0,63,72,70,0,0,0,0,0,0
4,1220,0,0,0,63,72,70,0,0,0,0,0,0
4,1225,0,0,0,63,72,70,0,0,0,0,0,0
4,1230,0,0,0,63,72,70,0,0,0,0,0,0
4,1235,0,0,0,63,72,70,0,0,0,0,0,0
4,1240,0,0,0,63,72,70,0,0,0,0,0,0
4,1245,0,0,0,63,72,70,0,0,0,0,0,0
4,1250,0,0,0,63,72,70,0,0,0,0,0,0
4,1255,0,0,0,63,72,70,0,0,0,0,0,0
4,1260,0,0,0,63,72,70,0,0,0,0,0,0
4,1265,0,0,0,63,72,70,0,0,0,0,0,0
4,1270,0,0,0,63,72,70,0,0,0,0,0,0
4,1275,0,0,0,63,72,70,0,0,0,0,0,0
4,1280,0,0,0,63,72,70,0,0,0,0,0,0
4,1285,0,0,0,63,72,70,0,0,0,0,0,0
4,1290,0,0,0,63,72,70,0,0,0,0,0,0
4,1295,0,0,0,63,72,70,0,0,0,0,0,0
4,1300,0,0,0,63,72,70,0,0,0,0,0,0
4,1305,0,0,0,63,72,70,0,0,0,0,0,0
4,1310,0,0,0,63,72,70,0,0,0,0,0,0
4,1315,0,0,0,63,72,70,0,0,0,0,0,0
4,1320,0,0,0,63,72,70,0,0,0,0,0,0
4,1325,0,0,0,63,72,70,0,0,0,0,0,0
4,1330,0,0,0,63,72,70,0,0,0,0,0,0
4,1335,0,0,0,63,72,70,0,0,0,0,0,0
4,1340,0,0,0,63,72,70,0,0,0,0,0,0
4,1345,0,0,0,63,72,70,0,0,0,0,0,0
4,1350,0,0,0,63,72,70,0,0,0,0,0,0
4,1355,0,0,0,63,72,70,0,0,0,0,0,0
4,1360,0,0,0,63,72,70,0,0,0,1,0,0
4,1365,0,0,0,63,72,70,0,0,0,0,0,0
4,1370,0,0,0,63,72,70,0,0,0,0,0,1
4,1375,0,0,0,63,72,70,0,0,0,0,0,0
4,1380,0,0,0,63,72,70,0,0,0,1,0,0
4,1385,0,0,0,63,72,70,0,0,0,0,0,0
4,1390,0,0,0,63,72,70,0,0,0,0,0,0
4,1395,0,0,0,63,72,70,0,0,0,0,0,0
4,1400,0,0,0,63,72,70,0,0,0,0,0,0
4,1405,0,0,0,63,72,70,0,0,0,0,0,0
4,1410,0,0,0,63,72,70,0,0,0,0,0,0
4,1415,0,0,0,63,72,70,0,0,0,0,0,0
4,1420,0,0,0,63,72,70,0,0,0,0,0,0
4,1425,0,1,1,63,72,70,0,0,0,1,0,1
4,1430,0,1,1,63,72,68,0,0,0,1,0,1
4,1435,0,1,1,63,72,68,0,0,0,1,0,1
5,0,0,1,1,63,72,68,1,1,0,1,0,1
5,5,0,1,0,63,72,68,0,0,0,1,0,1
5,10,1,1,1,63,72,69,0,0,1,1,0,1
5,15,0,1,1,63,72,70,1,0,1,1,0,1
5,20,0,0,1,63,72,69,0,0,0,1,0,0
5,25,0,0,0,63,71,69,0,0,0,1,0,0
5,30,0,0,1,63,71,69,0,0,0,1,0,0
5,35,0,0,1,62,71,69,0,0,0,1,0,0
5,40,0,0,1,64,71,69,0,0,0,1,0,0
5,45,0,0,0,62,71,69,0,0,0,1,0,0
5,50,0,0,0,62,71,68,0,0,0,0,0,0
5,55,0,0,0,62,71,68,0,0,0,0,0,0
5,60,0,0,0,62,71,68,0,0,0,0,0,0
5,65,0,0,0,62,71,68,0,0,0,0,0,0
5,70,0,0,0,62,71,68,0,0,0,0,0,0
5,75,0,0,0,62,71,68,0,0,0,0,0,0
5,80,0,0,0,62,71,68,0,0,0,0,0,0
5,85,0,0,0,62,71,68,0,0,0,0,0,0
5,90,0,0,1,62,71,68,0,0,0,0,0,0
5,95,0,0,0,62,71,68,0,0,0,0,0,0
5,100,0,0,0,63,71,68,0,0,0,0,0,0
5,105,0,0,0,62,70,68,0,0,0,0,0,0
5,110,0,0,0,62,70,68,0,0,0,0,0,0
5,115,0,0,0,62,70,68,0,0,0,0,0,0
5,120,0,0,0,62,70,68,0,0,0,0,0,0
5,125,0,0,0,62,70,68,0,0,0,0,0,0
5,130,0,0,1,62,70,68,0,0,0,0,0,0
5,135,0,0,0,62,70,68,0,0,0,0,0,0
5,140,0,0,0,62,70,69,0,0,0,0,0,0
5,145,0,0,1,62,70,68,0,0,0,0,0,0
5,150,0,0,0,62,70,68,0,0,0,0,0,0
5,155,0,0,0,62,70,68,0,0,0,0,0,0
5,160,0,0,1,63,70,68,0,0,0,0,0,0
5,165,0,0,0,62,70,67,0,0,0,0,0,0
5,170,0,0,0,62,70,67,0,0,0,0,0,0
5,175,0,0,0,62,70,67,0,0,0,0,0,0
5,180,0,0,0,62,70,67,0,0,0,0,0,0
5,185,0,0,0,62,70,67,0,0,0,0,0,0
5,190,0,0,1,62,71,67,0,0,0,0,0,0
5,195,0,0,1,62,70,67,0,0,0,0,0,0
5,200,0,0,0,62,70,69,0,0,0,0,0,0
5,205,0,0,0,62,70,67,0,0,0,0,0,0
5,210,0,0,1,61,70,67,0,0,0,0,0,0
5,215,0,0,0,61,70,67,0,0,0,0,0,0
5,220,0,0,0,62,70,67,0,0,0,0,0,0
5,225,0,0,1,61,70,67,0,0,0,0,0,0
5,230,0,0,1,61,70,67,0,0,0,0,0,0
5,235,0,0,1,61,70,67,0,0,0,0,0,0
5,240,0,0,1,61,70,67,0,0,0,0,0,0
5,245,0,0,1,61,70,67,0,0,0,0,0,0
5,250,0,0,0,61,71,67,0,0,0,0,0,0
5,255,0,0,0,61,70,67,0,0,0,0,0,0
5,260,0,0,0,61,70,69,0,0,0,0,0,0
5,265,0,0,1,61,69,67,0,0,0,0,0,0
5,270,0,0,0,61,69,67,0,0,0,0,0,0
5,275,0,0,0,61,69,67,0,0,0,0,0,0
5,280,0,0,1,62,69,67,0,0,0,0,0,0
5,285,0,0,0,61,69,67,0,0,0,0,0,0
5,290,0,0,1,61,69,67,0,0,0,0,0,0
5,295,0,0,1,61,69,67,0,0,0,0,0,0
5,300,0,0,0,61,69,67,0,0,0,0,0,0
5,305,0,0,0,61,69,67,0,0,0,0,0,0
5,310,0,0,1,61,70,67,0,0,0,0,0,0
5,315,0,0,1,61,69,67,0,0,0,0,0,0
5,320,0,0,1,61,69,68,0,0,0,0,0,0
5,325,0,0,1,61,69,67,0,0,0,0,0,0
5,330,0,0,1,61,69,67,0,0,0,0,0,0
5,335,0,0,1,61,69,67,0,0,0,0,0,0
5,340,0,0,1,62,69,67,0,0,0,0,0,0
5,345,0,0,1,61,69,67,0,0,0,0,0,0
5,350,0,0,1,61,69,67,0,0,0,0,0,0
5,355,0,0,1,61,69,67,0,0,0,0,0,0
5,360,0,0,0,61,69,67,0,0,0,0,0,0
5,365,0,0,0,61,69,67,0,0,0,0,0,0
5,370,0,0,0,61,70,67,0,0,0,0,0,0
5,375,0,0,0,61,69,67,0,0,0,0,0,0
5,380,0,0,0,61,69,68,0,0,0,0,0,0
5,385,0,0,1,61,69,67,0,0,0,0,0,0
